25-11-04 18:07:27 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-04 18:07:28 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-04 18:07:28 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-04 18:07:28 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-04 18:07:28 |   INFO   |        HTTP_CLIENT        | Make PUT request to https://api.escuelajs.co/api/v1/products/90
25-11-04 18:07:28 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/products/90
25-11-04 18:07:28 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-04 18:07:28 |   INFO   |    PRODUCTS_ASSERTIONS    | Check update product response
25-11-04 18:07:28 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Statement
25-11-04 18:07:28 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 9364.97
25-11-04 18:07:28 |   INFO   |      BASE_ASSERTIONS      | Check that "description" equals to Watch glass group assume soon.
25-11-04 18:07:28 |   INFO   |      BASE_ASSERTIONS      | Check that "category id" equals to 103
