25-11-04 18:05:04 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-04 18:05:04 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-04 18:05:04 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-04 18:05:04 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-04 18:05:04 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 201
25-11-04 18:05:04 |   INFO   |    PRODUCTS_ASSERTIONS    | Check create product response
25-11-04 18:05:04 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Many run discover challenge
25-11-04 18:05:04 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 848.3
25-11-04 18:05:04 |   INFO   |      BASE_ASSERTIONS      | Check that "description" equals to Soldier show which.
25-11-04 18:05:04 |   INFO   |      BASE_ASSERTIONS      | Check that "category id" equals to 68
25-11-04 18:05:04 |   INFO   |      BASE_ASSERTIONS      | Check that "images" equals to ['https://www.keller.biz/app/app/categorylogin.htm']
25-11-04 18:05:04 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
