25-11-05 10:41:51 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-05 10:41:51 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-05 10:41:51 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-05 10:41:51 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-05 10:41:51 |   INFO   |        HTTP_CLIENT        | Make PUT request to https://api.escuelajs.co/api/v1/products/200
25-11-05 10:41:51 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/products/200
25-11-05 10:41:51 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-05 10:41:51 |   INFO   |    PRODUCTS_ASSERTIONS    | Check update product response
25-11-05 10:41:51 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Late above manager
25-11-05 10:41:51 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 4029.46
25-11-05 10:41:51 |   INFO   |      BASE_ASSERTIONS      | Check that "description" equals to Space central concern know effort.
25-11-05 10:41:51 |   INFO   |      BASE_ASSERTIONS      | Check that "category id" equals to 231
