25-11-05 10:41:49 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-05 10:41:49 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-05 10:41:49 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-05 10:41:50 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-05 10:41:50 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 201
25-11-05 10:41:50 |   INFO   |    PRODUCTS_ASSERTIONS    | Check create product response
25-11-05 10:41:50 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Accept continue
25-11-05 10:41:50 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 4585.69
25-11-05 10:41:50 |   INFO   |      BASE_ASSERTIONS      | Check that "description" equals to Machine leader check discuss role look discuss.
25-11-05 10:41:50 |   INFO   |      BASE_ASSERTIONS      | Check that "category id" equals to 226
25-11-05 10:41:50 |   INFO   |      BASE_ASSERTIONS      | Check that "images" equals to ['http://walter.com/poststerms.html']
25-11-05 10:41:50 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
