25-10-31 21:07:33 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-10-31 21:07:33 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-10-31 21:07:33 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-10-31 21:07:34 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-10-31 21:07:34 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/products/slug/factor-third
25-10-31 21:07:34 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/products/slug/factor-third
25-10-31 21:07:34 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-10-31 21:07:34 |   INFO   |    PRODUCTS_ASSERTIONS    | Check get product response
25-10-31 21:07:34 |   INFO   |    PRODUCTS_ASSERTIONS    | Check product
25-10-31 21:07:34 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 518
25-10-31 21:07:34 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Factor third
25-10-31 21:07:34 |   INFO   |      BASE_ASSERTIONS      | Check that "slug" equals to factor-third
25-10-31 21:07:34 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 5658.34
