25-10-31 21:07:23 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/users
25-10-31 21:07:24 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/users
25-10-31 21:07:24 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/auth/login
25-10-31 21:07:25 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/auth/login
25-10-31 21:07:25 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/auth/refresh-token
25-10-31 21:07:25 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/auth/refresh-token
25-10-31 21:07:25 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 201
25-10-31 21:07:25 |   INFO   | AUTHENTICATION_ASSERTIONS | Check refresh tokens response
25-10-31 21:07:25 |   INFO   | AUTHENTICATION_ASSERTIONS | Check response contains both access and refresh tokens
25-10-31 21:07:25 |   INFO   |      BASE_ASSERTIONS      | Check that "access_token" is true
25-10-31 21:07:25 |   INFO   |      BASE_ASSERTIONS      | Check that "refresh_token" is true
25-10-31 21:07:25 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
