25-10-31 21:07:44 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/users
25-10-31 21:07:45 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/users
25-10-31 21:07:45 |   INFO   |        HTTP_CLIENT        | Make PUT request to https://api.escuelajs.co/api/v1/users/341
25-10-31 21:07:45 |   INFO   |        HTTP_CLIENT        | Got response 400 Bad Request from https://api.escuelajs.co/api/v1/users/341
25-10-31 21:07:45 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 400
25-10-31 21:07:45 |   INFO   |     USERS_ASSERTIONS      | Check user update response with invalid data
25-10-31 21:07:45 |   INFO   |     ERRORS_ASSERTIONS     | Check error response
25-10-31 21:07:45 |   INFO   |      BASE_ASSERTIONS      | Check that "status_code" equals to 400
25-10-31 21:07:45 |   INFO   |      BASE_ASSERTIONS      | Check that "error" equals to Bad Request
25-10-31 21:07:45 |   INFO   |      BASE_ASSERTIONS      | Check that "message" equals to ['email must be an email']
25-10-31 21:07:45 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
